OID;Budas;Name_1;SymbolID_1;Laikotarpis;Įvykiai;Žuvusieji;Sužeistieji;IP;Atlikimo_data;Aprašymas;Planuojama
-1;Juodosios dėmės sankryžose 2016;Kęstučio g. ir Maironip g.;0;2012 - 2015 ;4;0;7;TAIP;2016;Pakeistas šviesoforinės sankryžos darbo rėžimas, prailginti saugos laikai ir šviesoforinės sankryžos darbo laikas.;
-1;Juodosios dėmės sankryžose 2016;Jonavos g. ir Salako g.;0;2012 - 2015 ;4;0;5;TAIP;2016;;Pakeistas horizontalusis ženklinimas įrengiant atskirą eismo juostą kairiesiems posūkiams, Įrengta pėsčiųjų saugumo salelė perėjoje per Salako g. 
-1;Juodosios dėmės sankryžose 2016;Kęstučio r A. Mickevičiaus g.;0;2012 - 2015 ;11;1;10;TAIP;2016;Įrengti atitvarai. Pėstieji nukreipti per reguliuojamą pėsčiųjų perėją.;
-1;Juodosios dėmės sankryžose 2016;K. Donelaičio ir A. Mickevičiaus;0;2012 - 2015 ;5;0;8;TAIP;2016;Pakeistos kryptys eismo juostose. Perorganizuotas eismas sankryžoje.;
-1;Juodosios dėmės sankryžose 2016;Savanorių pr. ir K. Petrausko g.;2;2012 - 2015 ;4;0;7;TAIP;2016;;KTTI rekomendacija panaikinti žaliąsias rodykles sankryžoje. Sankryža stebima.
-1;Juodosios dėmės sankryžose 2016;Savanorių pr. ir Taikos pr.;2;2012 - 2015 ;5;0;5;TAIP;2016;;Parengtas šviesoforinės sankryžos projektas, skirtas finansavimas ES lėšomis, Pasirašyta rekonstrukcijos rangos sutartis. Šviesoforinė sankryža bus rekonstruota 2018 m.
-1;Juodosios dėmės sankryžose 2016;Savanorių pr. ir J. Basanavičiaus g.;0;2012 - 2015 ;4;1;3;TAIP;2016;Įrengta atskira eismo juosta kairiąjam posūkiui.<br>Planuojama;Įrengtas horizontalusis ženklinimą ""Korys"" ties sankryža su J. Basanavičiaus g.
-1;Juodosios dėmės sankryžose 2016;Taikos pr. ir J. Basanavičiaus g.;0;2012 - 2015 ;7;0;11;TAIP;2016; Pakeista pėsčiųjų perėjos vieta.;Įrengti trūkstamus pėsčiųjų šviesoforus (IV ketvirtis)
-1;Juodosios dėmės sankryžose 2016;S. Žukausko g. ir P. Lukšio g.;0;2012 - 2015 ;6;0;12;TAIP;2016; Įrengta reguliuojama sankryža.;
-1;Juodosios dėmės sankryžose 2016;Tunelio g. ir Radvilėnų pl.;0;2012 - 2015 ;4;0;4;TAIP;2016;;Sankryžoje įrengta saugumo salelė. Planuojamas greičio matuoklio įrengimas. (IV ketviritis)
-1;Juodosios dėmės sankryžose 2016;A. Baranausko ir Studentų g.;2;2012 - 2015 ;4;0;4;TAIP;2016;;Šviesoforinės sankryžos rekonstrukcija 2018 m.
-1;Juodosios dėmės sankryžose 2016;Verkių ir Prancūzų g.;2;2012 - 2015 ;5;0;5;TAIP;2016;Žiedinės sankryžos projektas<br>Planuojama 2017 m.;Planuojama gatvės rekonstrukcija.
-1;Juodosios dėmės sankryžose 2016;Taikos pr. ir A. Baranausko g.;0;2012 - 2015 ;5;0;12;TAIP;2016;Šviesoforo šviesos šaltinai pakeisti į LED.Panaikintos nesaugios pėsčiųjų perėjos greta sankryžos. Įrengti trūkstami pėsčiųjų takai ir pėsčiųjų šviesoforai, pėsčiuosius nukreipiant per reguliuojamas perėjas.;Rekonstruota šviesoforinė sankryža, pakeista eismo tvarka pagal Šviesoforų įrengimo reikalavimus.
-1;Juodosios dėmės sankryžose 2016;Savanorių pr. ir Kovo 11-osios g;2;2012 - 2015 ;8;1;7;TAIP;2016;;Parengtas šviesoforinės sankryžos projektas, skirtas finansavimas ES lėšomis, Pasirašyta rekonstrukcijos rangos sutartis. Šviesoforinė sankryža bus rekonstruota 2018 m.
-1;Juodosios dėmės sankryžose 2016;Kovo 11-osios g  ir Partizanų g.;2;2012 - 2015;9;0;11;TAIP;2016;;Parengtas šviesoforinės sankryžos projektas, skirtas finansavimas ES lėšomis, Pasirašyta rekonstrukcijos rangos sutartis. Šviesoforinė sankryža bus rekonstruota 2018 m.
-1;Juodosios dėmės sankryžose 2016;Savanorių pr. ir Dubingių g.;0;2012 - 2015 ;5;0;7;TAIP;2016;Įrengti kelių eismo ženklai draudžiantys sustoti prieš perėją, pagerinant perėjos matomumą.;Įrengta reguliuojama pėsčiųjų perėja.
-1;Juodosios dėmės sankryžose 2016;Kovo 11-osios g. ir Alaušo g.;0;2012 - 2015 ;4;1;3;TAIP;2016;;Įrengta išmanioji pėsčiųjų perėja, kryptinis perėjos apšvietimas
-1;Juodosios dėmės sankryžose 2016;Savanorių pr. ir Pramonės pr.;0;2012 - 2015 ;7;1;6;TAIP;2016;Apsauginiais stulpeliais atskirta eismo juosta saugiam posūkiui iš Pramonės pr. į Savanorių pr.;Šviesoforinės sankrįžos rekonstrukcija (IV  ketvirtis)
-1;Juodosios dėmės sankryžose 2016;Kovo 11-osios g. ir Dujotiekio g.;2;2012 - 2015 ;7;0;10;TAIP;2016;;Šviesoforinės sankryžos rekonstrukcija.
-1;Juodosios dėmės sankryžose 2016;Taikos pr. ir Draugystės g.;0;2012 - 2015 ;8;0;8;TAIP;2016;Įrengti didesnio atspindžio pėsčiųjų perėjų kelių eismo ženklais, Įrengta apsaugota salelė pėstiesiems perėjoje.; Sankryžoje su Kovo 11-osios g. įrengtos išmaniosios perėjos. Eismo organizavimo žiede pakeitimas (III ketvirtis)
