OID;GYV_KODAS;GTV_KODAS;GTV_PAV;GTV_PAV_PI;GYV_ID;GTV_ID;GTV_R;GTV_RK;GTV_ATR_KO;GAT_KODAS;SHAPE_STLength__
-1;17507;31904;Vandens Lelijų tak.;Vandens Lelijų tak.;6;8227;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1164614;514,823674465350905
-1;17507;16207;Santarvės g.;Santarvės g.;6;6333;1998-06-01 00:00:00;1998-08-03 00:00:00;2011-07-08 00:00:00;1243042;718,743292466500407
-1;17507;31617;Kazliškių g.;Kazliškių g.;6;2967;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1165936;194,610263046667626
-1;17507;18453;Baterijos pl.;Baterijos pl.;6;710;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1364591;1027,771112474928259
-1;17507;18461;Birutės g.;Birutės g.;6;790;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1665171;823,264723144868412
-1;17507;19074;J. Staugaičio g.;J. Staugaičio g.;6;6980;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1228642;352,121987305422920
-1;17507;19171;Upelio g.;Upelio g.;6;7950;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1228088;363,713888576199736
-1;17507;31841;Bernatonių g.;Bernatonių g.;6;727;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-12-07 00:00:00;1454941;1047,553134245509455
-1;17507;28431;Raktažolių g.;Raktažolių g.;6;5875;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1676467;458,958163143879347
-1;17507;30283;Žiežirbų g.;Žiežirbų g.;6;9186;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1838342;286,308299542193254
-1;17507;19062;Spaustuvininkų g.;Spaustuvininkų g.;6;6860;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1813619;165,796577824285777
-1;17507;18664;I. Kanto g.;I. Kanto g.;6;2820;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1230581;384,284215101703808
-1;17507;28433;Šilagėlių g.;Šilagėlių g.;6;7295;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1454497;265,711625829694071
-1;17507;28434;Vėdrynų g.;Vėdrynų g.;6;8445;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1163288;329,704106986496015
-1;17507;30208;Mairūnų tak.;Mairūnų tak.;6;4215;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1173361;727,233214469495692
-1;17507;18460;Biruliškių g.;Biruliškių g.;6;780;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1685009;1192,733795927742676
-1;17507;28432;Viržių g.;Viržių g.;6;8735;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1851213;101,903934333642653
-1;17507;18599;Guobų g.;Guobų g.;6;2170;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1463369;536,406645089200538
-1;17507;28387;Raugerškių skg.;Raugerškių skg.;6;6045;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1676448;74,789764766138674
-1;17507;28388;Žilakrūmių skg.;Žilakrūmių skg.;6;9188;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1293201;83,318141607421026
-1;17507;28390;Kukmedžių skg.;Kukmedžių skg.;6;3595;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1308191;86,056780961224007
-1;17507;28391;Sausmedžių skg.;Sausmedžių skg.;6;6382;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1698225;71,991429595237335
-1;17507;28393;Svarainių skg.;Svarainių skg.;6;7085;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1676084;62,502051222050575
-1;17507;28394;Vynvyčių skg.;Vynvyčių skg.;6;8765;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1163641;53,534360173494441
-1;17507;19245;Vinkšnų tak.;Vinkšnų tak.;6;8710;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1664046;503,406909638819570
-1;17507;30209;Melisų tak.;Melisų tak.;6;4407;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1668587;269,621564916740738
-1;17507;74528;Rytmečio g.;Rytmečio g.;6;9394;2007-08-10 00:00:00;2007-08-10 00:00:00;2011-07-08 00:00:00;1258348;132,796001215947655
-1;17507;74532;S. Fanstilio g.;S. Fanstilio g.;6;9396;2007-08-10 00:00:00;2007-08-10 00:00:00;2011-07-08 00:00:00;1568172;522,209834874872968
-1;17507;74530;M. Eimaičio g.;M. Eimaičio g.;6;9395;2007-08-10 00:00:00;2007-08-10 00:00:00;2011-07-08 00:00:00;1568168;341,014084909052769
-1;17507;76128;Šv. Roko g.;Šv. Roko g.;6;9398;2007-10-09 00:00:00;2007-10-09 00:00:00;2011-07-08 00:00:00;1339075;386,705596054673094
-1;17507;77528;Galulaukės g.;Galulaukės g.;6;9401;2007-11-20 00:00:00;2007-11-20 00:00:00;2011-07-08 00:00:00;1554844;144,630590513293157
-1;17507;78328;Audenio g.;Audenio g.;6;9402;2007-11-30 00:00:00;2007-11-30 00:00:00;2011-07-08 00:00:00;1551549;283,072358515092162
-1;17507;81228;Vėlyvių g.;Vėlyvių g.;6;9403;2008-01-25 00:00:00;2008-01-25 00:00:00;2011-07-08 00:00:00;1303606;367,977643724553559
-1;17507;31843;Eigirgalos g.;Eigirgalos g.;6;1455;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1454956;183,289161428239765
-1;17507;16274;Lukštinės g.;Lukštinės g.;6;4175;1998-06-01 00:00:00;1998-08-03 00:00:00;2011-07-08 00:00:00;1242649;538,755850620517776
-1;17507;48097;Žagarvyšnių tak.;Žagarvyšnių tak.;6;8981;1999-01-01 00:00:00;1999-01-01 00:00:00;2011-07-08 00:00:00;1467914;226,015477723946248
-1;17507;19168;Uogynų g.;Uogynų g.;6;7920;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1851782;329,737236584185325
-1;17507;18768;Laukuvos g.;Laukuvos g.;6;3890;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1672954;910,036484157253426
-1;17507;19153;Tryškių g.;Tryškių g.;6;7770;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1228289;180,230309126395383
-1;17507;19294;Žygaičių g.;Žygaičių g.;6;9210;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1666091;372,589982599546374
-1;17507;18848;Muniškių g.;Muniškių g.;6;4690;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1229797;202,527900780819039
-1;17507;18610;Išlaužo g.;Išlaužo g.;6;2280;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1672844;352,149321922260867
-1;17507;18612;Yliškių g.;Yliškių g.;6;2300;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1672624;537,326077086922851
-1;17507;18618;Jašiūnų g.;Jašiūnų g.;6;2360;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1230945;80,330118308978868
-1;17507;18621;Jaunųjų Talkininkų g.;Jaunųjų Talkininkų g.;6;2390;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1691709;496,745866664775349
-1;17507;18677;M. Gimbutienės g.;M. Gimbutienės g.;6;2960;1998-06-01 00:00:00;1999-01-01 00:00:00;2011-07-08 00:00:00;1316033;1207,436645367743040
