OID;Pavadinima;Pradžia;Pabaiga;Vykdytojas;Ministerij;VP_uzdavin;Vertė;Būdas;Pastabos;SHAPE_Leng;Aprasymas;LINK;Etapas;EUR;Shape_STAr;Shape_STLe
-1;Kauno kultūros centro „Tautos namai“ infrastruktūros pritaikymas vietos bendruomenės reikmėms;2017;2019;Kauno kultūros centras „Tautos namai“;KM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);1471479;R; ;174,680846409999987;Kauno kultūros centro „Tautos namai“ infrastruktūros pritaikymas vietos bendruomenės reikmėms;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/kauno-kulturos-centro-tautos-namai-infrastrukturos-pritaikymas-vietos-bendruomenes-reikmems;Vykdomas;1471479,000000000000000;1315,160400390625000;193,397141310967953
-1;Šeštokų 1-osios g.  ir Alyvų 1-osios g. Kaune statyba;2018;2019;KMSA;SM;Padidinti regionų judumą plėtojant jungtis su pagrindiniu šalies transporto tinklu ir diegiant eismo saugos priemones;700000;R; ;1010,775462810000022;Šeštokų 1-osios g.  ir Alyvų 1-osios g. Kaune statyba (bus naujai įrengtos dvi dviejų eismo juostų gatvės, vienos eismo juostos žiedinė sankryža, šaligatviai, gatvės apšvietimas, lietaus kanalizacija, padidintas keleivių ir krovinių judumas, pagerintos ES transeuropinio transporto tinklo pagrindinio tinklo koridorių jungtys su valstybinės ir vietinės reikšmės transporto tinklu); ;Nepradėtas;700000,000000000000000;18739,914062500000000;1232,180726038980993
-1;Teritorijos prie daugiafunkcio  S. Dariaus ir S. Girėno sveikatinimo, kultūros ir užimtumo centro, Lietuvos Sporto Universiteto ir Sporto halės sutvarkymas;2018;2020;KMSA;VRM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);5000000;R; ;572,350436090000017;Teritorijos prie daugiafunkcio S. Dariaus ir S. Girėno sveikatinimo, kultūros ir užimtumo centro, Sporto halės, Sporto g. ir jos prieigų sutvarkymas (sutvarkant aikštę ir pritaikant ją renginiams bei visuomenės poreikiams, pėsčiųjų takus ir želdinius, rekonstruojant apšvietimą, automobilių stovėjimo aikšteles prie Ąžuolyno gatvės, automobilių saugyklos su teniso aikštynų įrengimais);;Nepradėtas;10000000,000000000000000;88396,881591796875000;1590,005024213788147
-1;Pastato esančio Aleksote, Sodininkų g. 2, konversija į daugiafunkcinį centrą;2018;2020;KMSA;VRM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);1500000;R;;110,512344130000002;Pastato esančio Aleksote, Sodininkų g. 2,  konversija į daugiafunkcinį centrą (įrengiant ir pritaikant jį visuomenės poreikiams ir sukuriant bendruomenės traukos centrą, skatinantį tolesnį teritorijos vystymą bei privačių investicijų pritraukimą).*;;Nepradėtas;1500000,000000000000000;1470,602294921875000;256,853686954155478
-1;Kauno kino centro „Romuva“ kultūros paveldo aktualizavimas, jį įveiklinant, optimizuojant ir keliant paslaugų kokybę;2017;2019;Kauno kino centras „Romuva“;KM;Padidinti kultūros ir gamtos paveldo aktualumą, lankomumą ir žinomumą, visuomenės informuotumą apie juos supančią aplinką;2322686,72;R; ;143,593420269999996;Kauno kino centro „Romuva“ (kultūros paveldo objekto) aktualizavimas, jį įveiklinant, optimizuojant ir keliant paslaugų kokybę;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/kauno-kino-centro-romuva-kulturos-paveldo-objekto-aktualizavimas-ji-iveiklinant-optimizuojant-ir-keliant-paslaugu-kokybe;Vykdomas;;943,558837890625000;136,071536789352592
-1;Kauno apskrities viešosios bibliotekos modernizavimas;2018;2019;Kauno apskrities viešoji biblioteka;KM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);4998000;V; ;259,436176180000018;Kauno apskrities viešosios bibliotekos modernizavima; ;Nepradėtas;4998000,000000000000000;2502,596679687500000;260,560662689184142
-1;Kauno lopšelio-darželio „Svirnelis“ modernizavimas didinant paslaugų prieinamumą;2018;2019;KMSA;ŠMM;Padidinti bendrojo ugdymo ir neformaliojo švietimo įstaigų (ypač vykdančių ikimokyklinio ir priešmokyklinio ugdymo programas) tinklo veiklos efektyvumą;296 653,08;R; ;443,597857710000028;Kauno lopšelio-darželio „Svirnelis“ modernizavimas didinant paslaugų prieinamumą;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/kauno-lopselio-darzelio-svirnelis-modernizavimas-didinant-paslaugu-prieinamuma;Vykdomas;;1235,197753906250000;257,584363112685537
-1;Kauno Žaliakalnio lopšelio- darželio modernizavimas didinant paslaugų prieinamumą;2018;2019;KMSA;ŠMM;Padidinti bendrojo ugdymo ir neformaliojo švietimo įstaigų (ypač vykdančių ikimokyklinio ir priešmokyklinio ugdymo programas) tinklo veiklos efektyvumą;432824,62;R; ;279,726773320000007;Kauno Žaliakalnio lopšelio-darželio modernizavimas didinant paslaugų prieinamumą;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/kauno-zaliakalnio-lopselio-darzelio-modernizavimas-didinant-paslaugu-prieinamuma;Vykdomas;;707,573486328125000;154,070010355358562
-1;Kauno lopšelio-darželio „Boružėlė“ modernizavimas didinant paslaugų prieinamumą;2018;2019;KMSA;ŠMM;Padidinti bendrojo ugdymo ir neformaliojo švietimo įstaigų (ypač vykdančių ikimokyklinio ir priešmokyklinio ugdymo programas) tinklo veiklos efektyvumą;691 188,71;R; ;113,997543859999993;Lopšelio - darželio „Boružėlė“ modernizavimas didinant paslaugų prieinamumą;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/kauno-lopselio-darzelio-boruzele-modernizavimas-didinant-paslaugu-prieinamuma;Vykdomas;;1266,260742187500000;247,767424801315542
-1;Susietos teritorijos (centro) įstaigų modernizavimas plėtojant vaikų ir jaunimo neformalaus ugdymo galimybes (Kauno moksleivių techninės kūrybos centro ir jo bazės modernizavimas);2017;2018;Kauno moksleivių techninės kūrybos centras;ŠMM;Padidinti bendrojo ugdymo ir neformaliojo švietimo įstaigų (ypač vykdančių ikimokyklinio ir priešmokyklinio ugdymo programas) tinklo veiklos efektyvumą;41059;R; ;253,663011990000001;Susietos teritorijos (centro) įstaigų modernizavimas plėtojant vaikų ir jaunimo neformalaus ugdymo galimybes (Kauno moksleivių techninės kūrybos centro pastato ir jo mokymo bazės modernizavimas);http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/susietos-teritorijos-centro-istaigu-modernizavimas-pletojant-vaiku-ir-jaunimo-neformalaus-ugdymo-galimybes;Vykdomas;41059,000000000000000;1153,752441406250000;186,982286476426822
-1;Radvilėnų plento (nuo A. Baranausko g. iki Zoologijos sodo pabaigos)  rekonstravimas;2018;2019;KSMA;SM;Padidinti regionų judumą plėtojant jungtis su pagrindiniu šalies transporto tinklu ir diegiant eismo saugos priemones;1000000;R; ;1091,817369059999919;Radvilėnų plento (nuo A. Baranausko g. iki Zoologijos sodo pabaigos) rekonstravimas (Radvilėnų pl. rekonstruotoje atkarpoje bus išspręstos eismo organizavimo problemos, atnaujintos ir įrengtos automobilių stovėjimo vietos prie Zoologijos sodo ir Ąžuolyno, įrengti šaligatviai ir dviračių takai. Atlikus šiuos darbus bus padidintas keleivių ir krovinių pralaidumas, gerinant ES transeuropinio transporto tinklo pagrindinio tinklo koridorių jungtis su valstybinės ir vietinės reikšmės transporto tinklu bei didinant skirtingų transporto rūšių sąveikos efektyvumą); ;Nepradėtas;1000000,000000000000000;14394,165039062500000;1091,798369561387062
-1;Pėsčiųjų ir dviračių takas Veiverių g. nuo Vytauto Didžiojo tilto iki Kauno miesto ribos;2017;2020;KMSA;SM;Skatinti darnų judumą ir plėtoti aplinkai draugišką transportą siekiant sumažinti anglies dioksido išmetimus;394544,07;R;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/pesciuju-ir-dviraciu-takas-veiveriu-g-nuo-vytauto-didziojo-tilto-iki-kauno-miesto-ribos;8764,791533379999237;Pėsčiųjų ir dviračių takas Veiverių g. nuo Vytauto Didžiojo tilto iki Kauno miesto ribos (tako ilgis 4,2 km);http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai?f__ministry=278&f__region=222&page=6;Vykdomas;1200000,000000000000000;89264,100585937500000;8761,270468828151934
-1;Dviračių ir pėsčiųjų tako Savanorių p. įrengimas (tako ilgis 6 km);2017;2018;KMSA;SM;Skatinti darnų judumą ir plėtoti aplinkai draugišką transportą siekiant sumažinti anglies dioksido išmetimus;211764,71;R; ;15261,751866099999461;Dviračių ir pėsčiųjų tako Savanorių prospekte įrengimas (tako ilgis 6 km);http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/pesciuju-ir-dviraciu-tako-savanoriu-pr-irengimas;Vykdomas;600000,000000000000000;302788,111572265625000;15260,759198341826050
-1;Aleksoto gatvių  rekonstravimas (Kalvarijos g., Vyčio Kryžiaus g., K. Sprangausko g., J. Petruičio g., J. Čapliko g., J. Pabrėžos g. , Vilties g.);2018;2019;KMSA;SM;Padidinti regionų judumą plėtojant jungtis su pagrindiniu šalies transporto tinklu ir diegiant eismo saugos priemones;8223977;R; ;18574,308504799999355;Aleksoto gatvių  rekonstravimas (Kalvarijos g., Vyčio Kryžiaus g., K. Sprangausko g., J. Petruičio g., J. Čapliko g., J. Pabrėžos g., Vilties g.) (rekonstruojant gatves bus įrengta/rekonstruota asfalto danga, pėsčiųjų, dviračių takai, gatvės apšvietimas, lietaus kanalizacija. Atlikus šiuos darbus bus padidintas keleivių ir krovinių pralaidumas, pagerintos ES transeuropinio transporto tinklo pagrindinio tinklo koridorių jungtys su valstybinės ir vietinės reikšmės transporto tinklu);http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai?f__ministry=278&f__region=222&page=6;Nepradėtas;8223977,000000000000000;191557,337158203125000;19215,976185694187734
-1;Šviesoforinės įrangos J. Lukšos-Daumanto g. ir Sukilėlių p. sankryžoje įrengimas;2018;2019;KMSA;SM;Padidinti regionų judumą plėtojant jungtis su pagrindiniu šalies transporto tinklu ir diegiant eismo saugos priemones;41998;R; ;116,364796690000006;Šviesoforinės įrangos J. Lukšos-Daumanto g. ir Sukilėlių pr. sankryžoje įrengimas;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/sviesoforines-irangos-j-luksos-daumanto-g-ir-sukileliu-pr-sankryzoje-irengimas;Vykdomas;100000,000000000000000;844,270263671875000;116,416588971209038
